date	volume
12/17/2018	8829762
12/18/2018	6522975
12/19/2018	8792189
12/20/2018	9991833
12/21/2018	13640320
12/24/2018	7219996
12/26/2018	10411801
12/27/2018	9722034
12/28/2018	8828950
12/31/2018	6954507
