date,name,open,close,high,low,volume
9/21/2018,AMZN,1954.22,1915.01,1957.31,1910.5,6855898
9/24/2018,AMZN,1903.79,1934.36,1936.88,1865,4213728
9/25/2018,AMZN,1942.9,1974.55,1975.91,1938.85,4538407
9/26/2018,AMZN,1968.5,1974.85,1995.25,1961.52,4313459
9/27/2018,AMZN,1993.24,2012.98,2016.16,1988.58,4329391
9/28/2018,AMZN,2004.41,2003,2026.52,1996.46,4085135
10/1/2018,AMZN,2021.99,2004.36,2033.19,2003.6,3468285
10/2/2018,AMZN,1999.99,1971.31,2013.39,1965.77,5400749
10/3/2018,AMZN,1981.7,1952.76,1989.7,1949.81,5253131
10/4/2018,AMZN,1949,1909.42,1956,1896.57,7256973
10/5/2018,AMZN,1917.99,1889.65,1929.08,1862.83,6822327
10/8/2018,AMZN,1874,1864.42,1902,1830.66,7393199
10/9/2018,AMZN,1859.99,1870.32,1896.68,1852.32,4772866
10/10/2018,AMZN,1857.89,1755.25,1858.56,1754.41,10988855
10/11/2018,AMZN,1724,1719.36,1755.4,1685.1,13935872
10/12/2018,AMZN,1808,1788.61,1808.95,1742.53,9444587
10/15/2018,AMZN,1795,1760.95,1795.05,1734.23,6437162
10/16/2018,AMZN,1783.5,1819.96,1823.88,1761.55,5859918
10/17/2018,AMZN,1842.79,1831.73,1845,1807,5295177
10/18/2018,AMZN,1821.49,1770.72,1830.15,1767.87,5873995
10/19/2018,AMZN,1785.16,1764.03,1809.1,1753,5907246
10/22/2018,AMZN,1784,1789.3,1809.5,1756,4500015
10/23/2018,AMZN,1742.24,1768.7,1776.34,1714,6723913
10/24/2018,AMZN,1773.7,1664.2,1777.71,1656.56,6928383
10/25/2018,AMZN,1703.34,1782.17,1794.81,1692.01,10285742
10/26/2018,AMZN,1649.59,1642.81,1698.46,1603,14963783
10/29/2018,AMZN,1660,1538.88,1665.74,1495,13866077
10/30/2018,AMZN,1486.16,1530.42,1540.99,1476.36,12460086
10/31/2018,AMZN,1569.99,1598.01,1623.91,1565.09,9390211
11/1/2018,AMZN,1623.53,1665.53,1670.45,1598.44,8135539
11/2/2018,AMZN,1678.59,1665.53,1697.44,1651.83,6955548
11/5/2018,AMZN,1657.57,1627.8,1658.09,1596.36,5624727
11/6/2018,AMZN,1618.35,1642.81,1665,1614.55,4257353
11/7/2018,AMZN,1673,1755.49,1759.23,1664.08,8192234
